AUTHOR,NAME,GENRE,PUBLISHER,ISBN,STOCK
Angela DiTerlizzi,Wet Friend! (Adventure of Meno),CHILDREN,Simon & Schuster,1416971491 ,2
Lauren Willig,The Seduction of the Crimson Rose,NOVELS,Dutton Books,0525950338 ,4
Patricia Polacco,Someone for Mr. Sussmann,CHILDREN,Philomel Books,0399250751 ,6
Robert Irvine,Mission: Cook!: My Life My Recipes and Making the Impossible Easy ,COOKING,Harper Collins,0061237892 ,3
Steve Martini ,The Rule of Nine: A Paul Madriani Novel (Paul Madriani Novels),NOVELS,William Morrow,0061930210 ,1
Adam Lucas,Led by Their Dreams,SPORTS,Globe Pequot Press,1592289185 ,2
Adele Griffin,My Almost Epic Summer,NOVELS,Putnam Publishing Group,0399237844 ,2
Aleksandar Hemon, Love and Obstacles,NOVELS,Riverhead Books,1594488649 ,2
Alison Edgson,Manic Math,CHILDREN,21st Century Books,1855651459 ,2
Alma Powell,America's Promises,CHILDREN,Harper Collins,0060521724 ,2
Aly Hawkins,My Lover Is Mine ,INSPIRATIONAL,RegaL Books,0830743251 ,2
Amy Gordon,Magic By Heart,CHILDREN,Holiday House,0823419959 ,2
Amy Gordon,Return to Gill Park,CHILDREN,Holiday House,0823419983 ,2
Amy Gordon,The Gorillas of Gill Park,CHILDREN,Holiday House,0823417514 ,2
Andrew Davidson,Gargoyle,NOVELS,Doubleday,0385524943 ,2
Andrew Gross,Reckless,NOVELS,William Morrow,0061655953 ,2
Ann Heinrichs,Indiana Welcome to the U.S.A.,CHILDREN,Child's World,1592964729 ,2
Ann Heinrichs,Welcome to The USA: New Jersey,CHILDREN,Childs World,1592963781 ,2
Ann Heinrichs,Welcome to the USA: Texas,CHILDREN,Childs World,1592964850 ,2
Ann Heinrichs,Welcome to the USA Arizona,CHILDREN,Childs World,1592964680 ,2
Ann Nagda,Meow Means Mischief,CHILDREN,Holiday House,0823417867 ,2
Anna McQuinn,Wanda's Washing Machine,CHILDREN,Books Are Fun,1845062272 ,2
Anne Perry,No Graves As Yet: A Novel of World War I,NOVELS,Ballantine Books,0345456521 ,2
Arthur Schlesinger,Childhoods of the Presidents:John F. Kennedy,CHILDREN,Mason Crest Publishers,1590842723 ,2
Barbara Polikoff,Why Does the Coqui Sing?,CHILDREN,Holiday House,0823418170 ,2
Barbara Rogasky,Dybbuk:A Version,CHILDREN,Holiday House,082341616x ,2
Becky Denny,Eat Drink & War Eagle!: Recipes For Tailgating On The Plains & At Home,COOKING,21st Century Books,0976965437 ,2
Beth Harwood,The Easter Basket,CHILDREN,Templar Publishing,0525478469 ,2
Beth Hoffman,Saving CeeCee Honeycutt,NOVELS,21st Century Books,0670021393 ,2
Bill Wallace,Coyote Autumn,CHILDREN,Holiday House,0823416283 ,2
Blair Underwood ,Casanegra,ACTION,21st Century Books,0743287312 ,2
Brett Favre,Don't Bet Against Me,BIOGRAPHY,Tyndale House Publishers,141431907x ,2
